FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Jeffrey,Schlupp,MID,CRY,5500000,0,20,2,3.63636363636364E-07,3.63636363636364E-06,0,11226,1,8,0,0,0,0,0,3.6,405,0,0,20,0,0.2,0,1.2,1,0,3,0,1,0.1,9001,0,-1,0,0,601,109,0,0,60,Leicester,Chelsea,Liverpool,Burnley,Bournemouth,1.4,1,1.1,1,2,1.3,1.9,1.2,1.5,1.6,1,1.8,1,1.4,2.1,1,2.1,1.2,2,1.4,1,1.9,1,1.3,1,1.8,1.4,1.6
Kasper,Schmeichel,GLK,LEI,5100000,7,38,3.8,7.45098039215686E-07,7.45098039215686E-06,0,180105,0,8,0,28,0,0,0,7.5,8354,1,0,38,-1,0.9,0,4.8,0,0,3,0,0,9,348153,0,-1,0,0,900,29613,0,0,184,Crystal Palace,Arsenal,Brighton,Everton,Watford,3.6,4.5,2.9,5.7,5.2,3.8,4.9,3.1,4.2,3.8,4.3,3.9,2.5,5.1,4.3,3.3,3.7,3,5.7,3.9,4.3,3.9,5.2,2.9,2.6,4.3,3.5,5.2
Morgan,Schneiderlin,MID,EVE,4400000,0,7,0.7,1.59090909090909E-07,1.59090909090909E-06,0,54523,2,9,0,0,0,0,0,1.6,1775,-1,1,7,1,0.2,0,0.8,0,0,1,0,0,0.8,24189,0,-1,0,0,472,1581,-1,1,58,Tottenham,Southampton,Norwich,Leicester,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Ken,Sema,MID,WAT,4800000,0,0,0,0,0,0,2570,0,0,0,0,0,0,0,0,13,-2,0,0,2,0,0,0,0,0,0,0,0,0,286,0,-1,0,0,0,15,0,0,0,Chelsea,Norwich,Burnley,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Sessegnon,MID,TOT,5400000,0,0,0,0,0,0,15963,0,0,0,0,0,0,0,0,75,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,869,0,-1,0,0,0,33,0,0,0,Everton,Sheffield United,West Ham,Bournemouth,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan,Shaqiri,MID,LIV,6300000,0,2,0.2,3.17460317460317E-08,3.17460317460317E-07,0,24174,0,0,0,0,0,0,0,0.3,366,-2,0,2,2,0,0,0,0,0,0,0,0,0.3,4873,0,-1,0,0,11,11,0,0,6,Aston Villa,Man City,Crystal Palace,Brighton,Everton,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Billy,Sharp,FWD,SHU,5700000,1,10,1,1.75438596491228E-07,1.75438596491228E-06,0,91919,0,2,0,0,0,1,0,1.8,538,-3,0,10,3,0.1,0,0.8,3,0,0,0,0,0.4,48905,0,-1,0,0,153,208,0,1,39,Burnley,Tottenham,Man Utd,Wolverhampton,Newcastle,0.5,0.6,0.6,0.5,0.5,0.7,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.9
Luke,Shaw,DEF,MUN,5400000,0,9,0.9,1.66666666666667E-07,1.66666666666667E-06,0,119323,0,2,0,0,0,0,0,1.7,961,-1,0,9,1,0,0,0,0,0,1,0,0,0.6,27900,0,-1,0,0,213,34,0,0,50,Bournemouth,Brighton,Sheffield United,Aston Villa,Tottenham,0,0,0.4,0.8,0.7,0.4,0.8,0.4,0.8,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.6,0.4
Jonjo,Shelvey,MID,NEW,5000000,1,15,1.5,3E-07,3E-06,0,30272,0,6,0,0,0,1,0,3,552,0,0,15,0,0,0,0.2,1,0,1,0,0,0.3,20760,0,-1,0,0,310,72,0,0,62,West Ham,Bournemouth,Aston Villa,Man City,Sheffield United,0.8,1.2,0.8,0.8,1.3,0.9,0.8,1.1,0.8,1.2,0.8,0.9,0.8,0.8,1.1,0.8,0.8,1.2,1,1.4,1,0.9,0.9,0.8,0.8,1,0.8,0.8
Djibril,Sidibe,DEF,EVE,5300000,1,10,1,1.88679245283019E-07,1.88679245283019E-06,0,15491,1,4,0,0,0,0,0,1.9,498,-2,0,10,2,0.5,0,2.5,3,0,1,0,0,0.2,5467,0,-1,0,0,211,485,0,0,44,Tottenham,Southampton,Norwich,Leicester,Liverpool,0.8,0.5,0.7,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,1,0.5,0.8,0.5,0.8,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.9,0.5,0.5
