FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Max,Meyer,MID,CRY,5200000,1,13,0.619047619047619,1.19047619047619E-07,2.5E-06,0,10759,1,5,0,0,0,0,0,2.5,94,-3,0,13,3,0.2,0,1.2,0,0,1,0,0,0.1,4170,0,-1,0,0,414,24,0,0,30,Arsenal,Man City,Southampton,Sheffield United,Everton,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Simon,Mignolet,GLK,LIV,4500000,0,0,0,0,0,0,2856,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,-1,0,0,0,11,0,0,0,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka,Milivojevic,MID,CRY,6700000,2,58,2.9,4.32835820895522E-07,8.65671641791045E-06,0,420419,8,22,0,0,0,2,0,8.7,5775,-3,0,58,3,0.4,0,2.7,7,0,6,0,1,2.2,58626,0,-1,0,1,1785,464,0,0,271,Arsenal,Man City,Southampton,Sheffield United,Everton,0,0,0,3.6,2,3.3,2.2,3.3,2.4,1.6,3.1,1.7,2.2,1.6,3.1,2.3,2.5
James,Milner,MID,LIV,5300000,3,42,2.1,3.9622641509434E-07,7.92452830188679E-06,0,68972,3,6,0,0,0,2,0,7.9,1789,-2,0,42,2,0.5,0,2.8,3,0,4,0,2,0.6,42072,0,-1,0,1,662,489,0,0,158,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0,0,2.7,1.5,1.3,1.3,1.5,1.8,1.3,1.6,1,1.5,1.4,1.8,1.5,1.2,1.5
Yerry,Mina,DEF,EVE,5300000,0,48,2.5,4.71698113207547E-07,9.0566037735849E-06,0,398434,2,27,0,0,0,0,0,9.1,3024,-2,0,48,2,0.4,0,2.3,5,0,5,0,0,2.1,375862,1,-1,0,0,1630,2994,0,0,294,Brighton,West Ham,Newcastle,Watford,Crystal Palace,2.5,2.3,3.2,1.7,2.9,1.4,2.7,1.9,2.4,1.8,2.1,2,1.9,1.5,3.5,1.7,2.4
Takumi,Minamino,MID,LIV,6500000,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7111,0,-1,0,0,0,7111,0,0,0,Tottenham,Man Utd,Wolverhampton,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone,Mings,DEF,AVL,4500000,2,45,2.6,5.77777777777778E-07,1E-05,0,429698,3,26,0,0,0,1,0,10,5493,0,0,45,0,0.1,0,0.4,3,0,3,0,1,2.9,469689,0,-1,0,0,1462,3478,0,0,284,Man City,Brighton,Watford,Bournemouth,Tottenham,2.5,1.7,2.9,1.7,3.2,1.8,2.5,1.6,2.5,2.2,2.4,1.9,2.9,3.2,2,2.3,2.3
Tyrick,Mitchell,DEF,CRY,4000000,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,709,0,-1,0,0,0,121,0,0,0,Arsenal,Man City,Southampton,Sheffield United,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henrikh,Mkhitaryan,MID,ARS,6800000,0,4,1.3,1.91176470588235E-07,5.88235294117647E-07,0,115348,1,0,0,0,0,0,0,0.6,245,-2,0,4,2,0,0,0,0,0,1,0,0,0.8,22837,0,-1,0,0,110,33,0,0,3,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacho,Monreal,DEF,ARS,5000000,0,10,3.3,6.6E-07,2E-06,0,88347,0,4,0,0,0,0,0,2,117,0,0,10,0,0,0,0,1,0,1,0,0,0.3,28083,0,-1,0,0,270,12,0,0,54,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,Montoya,DEF,BHA,4400000,2,50,2.8,6.36363636363636E-07,1.13636363636364E-05,0,83784,3,19,0,0,0,0,0,11.4,2300,-1,0,50,1,0.4,0,1.7,3,0,5,0,1,0.7,81385,0,-1,0,1,1382,4108,0,0,239,Everton,Aston Villa,Bournemouth,West Ham,Watford,2.5,4,2.2,2.9,3,2.2,3.4,1.9,2.4,2.1,3,2.3,2.7,2.6,2.3,3.6,1.9
Simon,Moore,GLK,SHU,4400000,0,1,0.0476190476190476,1.08225108225108E-08,2.27272727272727E-07,0,5778,0,3,0,2,0,0,0,0.2,144,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,3083,0,-1,0,0,90,44,0,0,9,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Mooy,MID,BHA,4800000,2,41,2.7,5.625E-07,8.54166666666667E-06,0,32422,0,16,0,0,0,1,0,8.5,5611,-2,0,41,2,0.9,0,4.1,6,0,3,0,1,0.7,59391,0,-1,0,1,1052,11027,0,1,184,Everton,Aston Villa,Bournemouth,West Ham,Watford,1.9,2.5,2.2,1.7,3,2.8,2.5,2.1,2.7,1.6,2.7,1.8,1.7,1.5,2.5,2.9,2.1
Wes,Morgan,DEF,LEI,4100000,1,7,0.333333333333333,8.13008130081301E-08,1.70731707317073E-06,0,82301,0,1,0,0,0,0,0,1.7,1710,-4,0,7,4,0.1,0,0.4,0,0,0,0,0,0.7,28170,0,-1,0,0,152,1215,0,0,29,Southampton,Burnley,West Ham,Chelsea,Wolverhampton,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ravel,Morrison,MID,SHU,4600000,0,1,0.0476190476190476,1.0351966873706E-08,2.17391304347826E-07,0,12295,0,0,0,0,0,0,0,0.2,231,-4,0,1,4,0,0,0,0,0,0,0,0,0.1,3740,0,-1,0,0,12,156,0,0,0,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,Mount,MID,CHE,6300000,3,82,3.9,6.19047619047619E-07,1.3015873015873E-05,0,2540914,3,25,0,0,0,5,0,13,94060,3,0,82,-3,0.5,0,3,6,0,5,0,3,19.6,3666238,0,-1,0,0,1711,20023,0,0,298,Burnley,Newcastle,Arsenal,Leicester,Man Utd,4.3,4.1,4.2,3.3,4.3,3.6,4.3,4.3,3.1,2.5,3.5,4.7,3.6,5.2,3.9,3,4.2
Lys,Mousset,FWD,SHU,4800000,2,64,3.6,7.5E-07,1.33333333333333E-05,0,504581,0,9,0,0,0,5,0,13.3,25767,-2,0,64,2,0.3,0,1.6,9,0,3,0,3,3.5,697611,0,-1,0,1,851,15343,0,0,205,West Ham,Arsenal,Man City,Crystal Palace,Bournemouth,3.9,3.8,4.1,3.5,4.1,4,3.5,5.1,3,3.7,4.7,3.7,3.9,3.9,3.2,4.1,4.5
,Moutinho,MID,WOL,5400000,6,73,3.5,6.48148148148148E-07,1.35185185185185E-05,0,536844,4,25,0,0,0,1,0,13.5,15308,-1,0,73,1,0.7,0,3.6,10,0,4,0,6,5.5,466368,0,-1,0,0,1799,19791,0,0,381,Newcastle,Southampton,Liverpool,Man Utd,Leicester,4.1,3.7,2.5,2.6,2.8,3.5,2.4,3.8,2.7,4,2.3,3.8,4.2,3.9,3.3,3.6,2.8
Jacob,Murphy,MID,NEW,4800000,0,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,8,-2,0,0,2,0,0,0,0,0,0,0,0,0,219,0,-1,0,0,0,7,0,0,0,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenn,Murray,FWD,BHA,5500000,0,16,0.761904761904762,1.38528138528139E-07,2.90909090909091E-06,0,216388,0,4,0,0,0,0,0,2.9,1166,-5,0,16,5,0.1,0,0.4,0,0,2,0,0,0.7,44012,0,-1,0,0,396,263,0,0,18,Everton,Aston Villa,Bournemouth,West Ham,Watford,0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4
Shkodran,Mustafi,DEF,ARS,5200000,0,6,0.285714285714286,5.49450549450549E-08,1.15384615384615E-06,0,33244,0,4,0,0,0,0,0,1.2,292,-3,0,6,3,0.1,0,0.3,0,0,0,0,1,0.3,8494,0,-1,0,0,170,206,0,0,35,Crystal Palace,Sheffield United,Chelsea,Burnley,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Yoshinori,Muto,FWD,NEW,5100000,2,8,0.380952380952381,7.46965452847806E-08,1.56862745098039E-06,0,12514,0,6,0,0,0,0,0,1.6,154,-4,0,8,4,0.1,0,0.4,0,0,0,0,0,0.1,6169,0,-1,0,0,201,98,0,0,22,Wolverhampton,Chelsea,Everton,Norwich,Arsenal,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marvelous,Nakamba,MID,AVL,4400000,2,25,1.19047619047619,2.70562770562771E-07,5.68181818181818E-06,0,90289,2,24,0,0,0,0,0,5.7,2727,-1,0,25,1,0.3,0,1.3,0,0,1,0,0,0.9,123972,0,-1,0,0,1147,177,0,0,185,Man City,Brighton,Watford,Bournemouth,Tottenham,0.6,0.6,0.9,0.6,0.6,0.6,1,0.6,0.6,0.6,0.8,0.6,0.8,0.7,0.6,0.8,0.6
