FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nacho,Monreal,DEF,ARS,5000000,0,10,3.3,6.6E-07,2E-06,0,83587,0,4,0,0,0,0,0,2,333,0,0,10,0,0,0,0,1,0,1,0,0,0.3,27896,0,-1,0,0,270,6,0,0,54,Sheffield United,Crystal Palace,Wolverhampton,Leicester,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,Montoya,DEF,BHA,4500000,6,21,3,6.66666666666667E-07,4.66666666666667E-06,0,49145,1,9,0,0,0,0,0,4.7,506,0,0,21,0,0.7,0,3.2,0,0,3,0,0,0.7,46667,0,-1,0,0,630,849,0,0,101,Aston Villa,Everton,Norwich,Man Utd,Leicester,2.7,4.1,3.5,2.4,3.9,2.5,2.1,2.7,2.5,3,2.5,2.3,2.7,3,3.8,1.7,2.8,3.6,3.5,4.1,2.4,2.8,2.4,4.2,1.8,2.6,2.3,3,4.1,1.7
Simon,Moore,GLK,SHU,4400000,0,0,0,0,0,0,2635,0,0,0,0,0,0,0,0,45,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,556,0,-1,0,0,0,13,0,0,0,Arsenal,West Ham,Burnley,Tottenham,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron,Mooy,MID,BHA,4800000,3,10,1.25,2.60416666666667E-07,2.08333333333333E-06,0,14106,0,2,0,0,0,0,0,2.1,146,-2,0,10,2,0.5,0,2.2,0,0,2,0,0,0.2,5140,0,-1,0,0,238,604,0,0,44,Aston Villa,Everton,Norwich,Man Utd,Leicester,0.6,0.9,0.9,0.6,0.7,0.6,0.6,0.8,0.6,0.9,0.6,0.9,0.6,0.6,0.6,0.7,0.6,1,1.1,1,0.7,0.7,0.6,0.9,0.6,0.6,0.6,0.7,0.8,0.6
Wes,Morgan,DEF,LEI,4300000,0,1,0.125,2.90697674418605E-08,2.32558139534884E-07,0,56934,0,0,0,0,0,0,0,0.2,827,-2,0,1,2,0,0,0,0,0,0,0,0,0.8,14020,0,-1,0,0,12,272,0,0,5,Burnley,Southampton,Crystal Palace,Arsenal,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Ravel,Morrison,MID,SHU,4700000,0,1,0.125,2.65957446808511E-08,2.12765957446809E-07,0,8797,0,0,0,0,0,0,0,0.2,104,-3,1,1,3,0,0,0,0,0,0,0,0,0.1,1469,0,-1,0,0,12,34,-1,0,0,Arsenal,West Ham,Burnley,Tottenham,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mason,Mount,MID,CHE,6800000,7,46,5.8,8.52941176470588E-07,6.76470588235294E-06,0,574007,0,14,0,0,0,4,0,6.9,6369,8,-1,46,-8,0.9,0,6,6,0,1,0,1,33.2,2636237,0,-1,0,0,709,98783,1,0,164,Newcastle,Burnley,Watford,Crystal Palace,Man City,8,6.3,7.1,8.5,4.9,6.6,6.8,6.4,8.1,5.2,6.7,6.3,6.9,8.2,7.1,7.4,5.1,8.3,7.1,7.4,8.2,5.2,4.6,6.1,8.4,5.8,8.4,8.4,5.6,7.6
Lys,Mousset,FWD,SHU,4900000,1,9,1.125,2.29591836734694E-07,1.83673469387755E-06,0,26846,0,1,0,0,0,1,0,1.8,1269,-1,0,9,1,0.4,0,2,0,0,0,0,0,0.5,27784,0,-1,0,0,115,795,0,0,34,Arsenal,West Ham,Burnley,Tottenham,Man Utd,0.6,0.6,0.6,0.7,0.7,0.6,0.6,1,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,1.2,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.9
,Moutinho,MID,WOL,5400000,2,22,2.8,5.18518518518518E-07,4.07407407407407E-06,0,300789,1,9,0,0,0,0,0,4.1,4736,-1,0,22,1,0.4,0,2.2,3,0,3,0,1,4.2,142621,0,-1,0,0,629,1251,0,0,115,Southampton,Newcastle,Arsenal,Aston Villa,Bournemouth,2.1,2.5,2.2,2.2,2.8,2.9,2,2.5,2.3,1.8,1.4,1.8,2.6,2.8,2.9,1.6,1.7,2.5,3,1.7,2.7,2.1,3,1.7,2.4,3.7,2.9,2.1,3.1,1.9
Jacob,Murphy,MID,NEW,4800000,0,0,0,0,0,0,1142,0,0,0,0,0,0,0,0,6,-2,0,0,2,0,0,0,0,0,0,0,0,0,121,0,-1,0,0,0,3,0,0,0,Chelsea,Wolverhampton,West Ham,Bournemouth,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
